filename,source_url,download_status,exists,file_size_bytes,file_size_mb,sha256,checked_at_utc
fhvhv_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-01.parquet,existing,True,472757547,450.86,9897de352aa52cea36b70348cc6721b8d4494327ce39c85f0dba83d86ecaa098,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-02.parquet,existing,True,462475428,441.05,54bafa7bcf3f06e7833fcbccf7ef158eb793a72ee1c4bb8bf080e56ae71a15d6,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-03.parquet,existing,True,507940560,484.41,ff25b93f890f889637963b749d0839ec5a15f075d23ea5297b3312ed9a10d6d9,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-04.parquet,existing,True,476115643,454.06,1493f3edd0486bf6c3f949cb5a66ec49e9d04f7ad6e94f85626f16aa6fec7260,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-05.parquet,existing,True,498575918,475.48,152db11cbc95a796fea0b9cb26184b3c4cfad181fa9d7488d4c61f06c521b4b5,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-06.parquet,existing,True,484417715,461.98,4772ee1ab01e639a5db74169b49049f74f0f46a0c925fd3b67f9f068221f6373,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-07.parquet,existing,True,468437522,446.74,3a511a8df72441d72b32f6ce9829e29f5d61666e37f1b40b8d352cc5830c81e1,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-08.parquet,existing,True,465991646,444.4,99fd2913d2c8935e4c1d166f229290a90971b6564c490a8ba2a257de9e08fae2,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-09.parquet,existing,True,466470118,444.86,d2d26d608a775555128a2b435d375f5d25d3d8125b688c57fc60d5a0fb5a1d3b,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-10.parquet,existing,True,485102359,462.63,8ee625798a6543148c3a3e33df5e2cf44acb17af904dbfff925d1cd4f077afb5,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-11.parquet,existing,True,480228052,457.98,cc3547280a9ff6edb4eaa467a3aa0ea2a372fca746e3e733d1ea3152d56daed3,2026-08-11T12:24:14.864184+00:00
fhvhv_tripdata_2024-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2024-12.parquet,existing,True,507534115,484.02,dcf0885722bc76ab7b5f22a23b784513caf7e7c2b23381ed854610c436c48887,2026-08-11T12:24:14.864184+00:00
taxi_zone_lookup.csv,https://d37ci6vzurychx.cloudfront.net/misc/taxi_zone_lookup.csv,existing,True,12331,0.01,1a99e105092230f8620f301edcca7f80d3080642ff404d28ed957d3fa222c8ed,2026-08-11T12:24:14.864184+00:00
